Dataset, Plane_Height,Elevation_masl,Depth (0 = bottom of the lake), Area_2D, Volume,VolumeLayer,lake
F:\bathymetry\Trial3\surface5,-32,23.13,0,0,0,0,WLB
F:\bathymetry\Trial3\surface5,-31,23.23,0.1,123.105026,34.93803611,34.9,WLB
F:\bathymetry\Trial3\surface5,-30,23.33,0.2,246.210052,69.87607222,34.9,WLB
F:\bathymetry\Trial3\surface5,-29,23.43,0.3,369.315078,104.8141083,34.9,WLB
F:\bathymetry\Trial3\surface5,-28,23.53,0.4,492.420104,139.7521444,34.9,WLB
F:\bathymetry\Trial3\surface5,-27,23.63,0.5,615.52513,174.6901806,34.9,WLB
F:\bathymetry\Trial3\surface5,-26,23.73,0.6,738.630156,209.6282167,34.9,WLB
F:\bathymetry\Trial3\surface5,-25,23.83,0.7,861.735182,244.5662528,34.9,WLB
F:\bathymetry\Trial3\surface5,-24,23.93,0.8,984.840208,279.5042889,34.9,WLB
F:\bathymetry\Trial3\surface5,-23,24.03,0.9,1107.945234,314.442325,34.9,WLB
F:\bathymetry\Trial3\surface5,-22,24.13,1,1231.05026,349.3803611,34.9,WLB
F:\bathymetry\Trial3\surface5,-21,24.23,1.1,1622.988975,604.0147334,254.6,WLB
F:\bathymetry\Trial3\surface5,-20,24.33,1.2,2014.92769,858.6491057,254.6,WLB
F:\bathymetry\Trial3\surface5,-19,24.43,1.3,2406.866405,1113.283478,254.6,WLB
F:\bathymetry\Trial3\surface5,-18,24.53,1.4,2798.80512,1367.91785,254.6,WLB
F:\bathymetry\Trial3\surface5,-17,24.63,1.5,3190.743836,1622.552223,254.6,WLB
F:\bathymetry\Trial3\surface5,-16,24.73,1.6,3582.682551,1877.186595,254.6,WLB
F:\bathymetry\Trial3\surface5,-15,24.83,1.7,3974.621266,2131.820967,254.6,WLB
F:\bathymetry\Trial3\surface5,-14,24.93,1.8,4366.559981,2386.455339,254.6,WLB
F:\bathymetry\Trial3\surface5,-13,25.03,1.9,4758.498696,2641.089712,254.6,WLB
F:\bathymetry\Trial3\surface5,-12,25.13,2,5150.437411,2895.724084,254.6,WLB
F:\bathymetry\Trial3\surface5,-11,25.23,2.1,7078.685236,4212.888513,1317.2,WLB
F:\bathymetry\Trial3\surface5,-10,25.33,2.2,9006.933061,5530.052941,1317.2,WLB
F:\bathymetry\Trial3\surface5,-9,25.43,2.3,10935.18089,6847.21737,1317.2,WLB
F:\bathymetry\Trial3\surface5,-8,25.53,2.4,12863.42871,8164.381798,1317.2,WLB
F:\bathymetry\Trial3\surface5,-7,25.63,2.5,14791.67654,9481.546227,1317.2,WLB
F:\bathymetry\Trial3\surface5,-6,25.73,2.6,16719.92436,10798.71066,1317.2,WLB
F:\bathymetry\Trial3\surface5,-5,25.83,2.7,18648.17219,12115.87508,1317.2,WLB
F:\bathymetry\Trial3\surface5,-4,25.93,2.8,20576.42001,13433.03951,1317.2,WLB
F:\bathymetry\Trial3\surface5,-3,26.03,2.9,22504.66784,14750.20394,1317.2,WLB
F:\bathymetry\Trial3\surface5,-2,26.13,3,24432.91566,16067.36837,1317.2,WLB
F:\bathymetry\Trial3\surface5,-1,26.23,3.1,28842.36776,20493.70414,4426.3,WLB
