depth_m,area_m2,volume_m3,cumvol_m3,cumvol_per,area_cm2,lake
0.0,1941744,960295,24226424,100.00,1.94174379E+11,LH
0.5,1899515,939180,23266129,96.04,1.89951456E+11,LH
1.0,1857285,918065,22326948,92.16,1.85728533E+11,LH
1.5,1815056,896950,21408883,88.37,1.81505610E+11,LH
2.0,1772827,875687,20511933,84.67,1.77282687E+11,LH
2.5,1730009,854278,19636246,81.05,1.73000890E+11,LH
3.0,1687191,832868,18781969,77.53,1.68719092E+11,LH
3.5,1644373,811458,17949100,74.09,1.64437295E+11,LH
4.0,1601555,786502,17137642,70.74,1.60155497E+11,LH
4.5,1544625,758035,16351140,67.49,1.54462488E+11,LH
5.0,1487695,729569,15593105,64.36,1.48769479E+11,LH
5.5,1430765,701102,14863536,61.35,1.43076469E+11,LH
6.0,1373835,676651,14162434,58.46,1.37383460E+11,LH
6.5,1332873,656170,13485783,55.67,1.33287320E+11,LH
7.0,1291912,635688,12829614,52.96,1.29191180E+11,LH
7.5,1250950,615206,12193926,50.33,1.25095039E+11,LH
8.0,1209989,595370,11578719,47.79,1.20998899E+11,LH
8.5,1171595,576173,10983349,45.34,1.17159547E+11,LH
9.0,1133202,556975,10407176,42.96,1.13320195E+11,LH
9.5,1094808,537777,9850201,40.66,1.09480842E+11,LH
10.0,1056415,519388,9312424,38.44,1.05641490E+11,LH
10.5,1021237,501798,8793036,36.30,1.02123656E+11,LH
11.0,986058,484208,8291238,34.22,9.86058225E+10,LH
11.5,950880,466618,7807030,32.23,9.50879888E+10,LH
12.0,915702,450310,7340412,30.30,9.15701550E+10,LH
12.5,885621,435269,6890102,28.44,8.85620915E+10,LH
13.0,855540,420228,6454834,26.64,8.55540280E+10,LH
13.5,825460,405186,6034606,24.91,8.25459645E+10,LH
14.0,795379,389488,5629420,23.24,7.95379010E+10,LH
14.5,762689,373142,5239931,21.63,7.62689043E+10,LH
15.0,729999,356796,4866789,20.09,7.29999075E+10,LH
15.5,697309,340449,4509993,18.62,6.97309108E+10,LH
16.0,664619,323579,4169544,17.21,6.64619140E+10,LH
16.5,629853,306194,3845965,15.88,6.29853298E+10,LH
17.0,595087,288809,3539771,14.61,5.95087455E+10,LH
17.5,560322,271423,3250962,13.42,5.60321613E+10,LH
18.0,525556,256514,2979539,12.30,5.25555770E+10,LH
18.5,500600,244034,2723026,11.24,5.00599833E+10,LH
19.0,475644,231555,2478991,10.23,4.75643895E+10,LH
19.5,450688,219075,2247436,9.28,4.50687958E+10,LH
20.0,425732,207706,2028361,8.37,4.25732020E+10,LH
20.5,405177,197428,1820655,7.52,4.05177405E+10,LH
21,384622.79,187149,1623227,6.70,3.84622790E+10,LH
21.5,364068.175,176871,1436078,5.93,3.64068175E+10,LH
22,343513.56,164161,1259207,5.20,3.43513560E+10,LH
22.5,313359.3075,149078,1095047,4.52,3.13359308E+10,LH
23,283205.055,133993,945969,3.90,2.83205055E+10,LH
23.5,253050.8025,118907,811976,3.35,2.53050803E+10,LH
24,222896.55,104716,693069,2.86,2.22896550E+10,LH
24.5,196250.495,91383,588353,2.43,1.96250495E+10,LH
25,169604.44,78046,496970,2.05,1.69604440E+10,LH
25.5,142958.385,64703,418924,1.73,1.42958385E+10,LH
26,116312.33,55359,354221,1.46,1.16312330E+10,LH
26.5,105216.34,49808,298862,1.23,1.05216340E+10,LH
27,94120.35,44257,249053,1.03,9.41203500E+09,LH
27.5,83024.36,38705,204796,0.85,8.30243600E+09,LH
28,71928.37,33827,166091,0.69,7.19283700E+09,LH
28.5,63466.6675,29593,132264,0.55,6.34666675E+09,LH
29,55004.965,25358,102672,0.42,5.50049650E+09,LH
29.5,46543.2625,21121,77314,0.32,4.65432625E+09,LH
30,38081.56,17239,56193,0.23,3.80815600E+09,LH
30.5,30994.465,13687,38954,0.16,3.09944650E+09,LH
31,23907.37,10130,25267,0.10,2.39073700E+09,LH
31.5,16820.275,6558,15137,0.06,1.68202750E+09,LH
32,9733.18,4172,8579,0.04,9.73318000E+08,LH
32.5,7029.518889,2812,4407,0.02,7.02951889E+08,LH
33,4325.857778,1433,1595,0.01,4.32585778E+08,LH
33.5,1622.196667,162,162,0.00,1.62219667E+08,LH
33.8,0,,,,,LH
0.0,7291711,3583172,53440505,100.00,7.29171074E+11,LF
0.5,7041704,3458162,49857333,93.30,7.04170377E+11,LF
1.0,6791697,3333151,46399171,86.82,6.79169681E+11,LF
1.5,6541690,3208140,43066020,80.59,6.54168984E+11,LF
2.0,6291683,3066679,39857880,74.58,6.29168287E+11,LF
2.5,5976383,2909011,36791201,68.85,5.97638347E+11,LF
3.0,5661084,2751341,33882190,63.40,5.66108407E+11,LF
3.5,5345785,2593668,31130849,58.25,5.34578466E+11,LF
4.0,5030485,2336638,28537181,53.40,5.03048526E+11,LF
4.5,4324947,1983473,26200543,49.03,4.32494697E+11,LF
5.0,3619409,1773613,24217070,45.32,3.61940867E+11,LF
5.5,3475529,1701668,22443457,42.00,3.47552947E+11,LF
6.0,3331650,1634636,20741789,38.81,3.33165027E+11,LF
6.5,3207289,1572451,19107153,35.75,3.20728857E+11,LF
7.0,3082927,1507053,17534701,32.81,3.08292687E+11,LF
