dataset_code,limno_run,location_name,location_code,date_time,depth_m,wire_corrected_depth_m,ctd_conductivity_mscm,ctd_temp_c,ctd_comments,filename
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.104,0.565,0.5608,0.04,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.219,0.68,0.5613,0.046,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.319,0.78,0.5638,0.063,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.435,0.896,0.5683,0.19,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.51,0.971,0.565,0.196,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.619,1.08,0.5638,0.174,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.716,1.177,0.5637,0.156,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.812,1.273,0.5632,0.139,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,0.913,1.374,0.5624,0.123,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.015,1.476,0.5622,0.107,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.125,1.586,0.5616,0.093,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.239,1.7,0.5615,0.079,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.349,1.81,0.5614,0.067,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.459,1.92,0.5604,0.058,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.568,2.029,0.5599,0.05,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.686,2.147,0.5596,0.044,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.795,2.256,0.5599,0.04,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.894,2.355,0.5596,0.036,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,1.995,2.456,0.559,0.033,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.103,2.564,0.5593,0.032,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.211,2.672,0.5596,0.029,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.322,2.783,0.5584,0.027,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.434,2.895,0.5584,0.026,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.548,3.009,0.5583,0.025,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.662,3.123,0.5584,0.023,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.777,3.238,0.5575,0.023,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,2.895,3.356,0.5571,0.023,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.003,3.464,0.5582,0.024,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.11,3.571,0.5575,0.024,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.21,3.671,0.5572,0.023,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.316,3.777,0.5572,0.021,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.43,3.891,0.557,0.022,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.534,3.995,0.5578,0.039,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.64,4.101,0.5584,0.093,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.74,4.201,0.5596,0.166,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.846,4.307,0.5621,0.261,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,3.963,4.424,0.5634,0.366,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.065,4.526,0.5666,0.482,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.175,4.636,0.5781,0.607,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.279,4.74,0.5927,0.734,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.378,4.839,0.6109,0.851,,LIMNO_CTD_2324.CSV
LIMNO_CTD,FRX2324L1,Lake Fryxell,FRXLT1,11/5/23 0:00,4.478,4.939,0.6327,0.959,,LIMNO_CTD_2324.CSV
