lake,depth_m,density_kgm3,specGravity,temp_C,date_time
LF,4,0.9996,0.9964,3.9,2022-12-08
LF,5,0.9998,0.9968,4.5,2022-12-09
LF,6,1,0.9974,5.6,2022-12-10
LF,7,1.0003,0.9978,5.6,2022-12-11
LF,8,1.0008,0.9984,5.7,2022-12-12
LF,9,1.0014,0.9992,6.4,2022-12-13
LF,10,1.0021,1,7.4,2022-12-14
LF,11,1.0028,1.0004,6,2022-12-15
LF,12,1.0035,1.001,6.2,2022-12-16
LF,15,1.0053,1.004,9.2,2022-12-17
LF,19,1.0065,1.0043,5.4,2022-12-18
LH,3.5,1,0.996,2.7,2022-12-22
LH,5,0.9995,0.9963,3.4,2022-12-22
LH,6,0.9995,0.9964,3.7,2022-12-22
LH,8,0.9996,0.9967,4.4,2022-12-22
LH,10,0.9997,0.997,4.1,2022-12-22
LH,12,0.9998,0.997,4.2,2022-12-22
LH,14,1,0.9969,3.5,2022-12-22
LH,16,0.9993,0.9986,11.6,2022-12-22
LH,18,0.9993,0.9988,12.1,2022-12-22
LH,20,1,0.9975,5.5,2022-12-22
LH,22,1.0001,0.9976,5.4,2022-12-22
LH,25,1.0002,0.997,3.7,2022-12-22
LH,28.5,1.0001,0.9979,7.2,2022-12-22
ELB,4.5,1,0.9969,3.8,2022-12-18
ELB,5,1,0.9967,3.2,2022-12-18
ELB,6,1.0006,0.9976,4,2022-12-18
ELB,8,1.001,0.9981,4.5,2022-12-18
ELB,10,1.0013,0.9987,5.5,2022-12-18
ELB,12,1.0021,0.9994,5.8,2022-12-18
ELB,13,1.0029,1.0004,6.1,2022-12-18
ELB,15,1.0084,1.0061,6.1,2022-12-18
ELB,18,1.0233,1.0212,6.8,2022-12-18
ELB,20,1.0306,1.0281,5.9,2022-12-18
ELB,22,1.0557,1.0534,6.3,2022-12-18
ELB,25,1.1124,1.1104,7.1,2022-12-18
ELB,30,1.1698,1.1674,5.3,2022-12-18
ELB,35,1.184,1.183,3.7,2022-12-18
ELB,41,1.206,1.2023,1.7,2022-12-18
WLB,3.5,0.9997,0.9964,3,2022-12-15
WLB,5,1,0.9966,3.2,2022-12-15
WLB,6,1.0005,0.9973,3.2,2022-12-15
WLB,8,1.0009,0.9973,3.6,2022-12-15
WLB,10,1.0012,0.9981,3.4,2022-12-15
WLB,12,1.0022,0.999,3.3,2022-12-15
WLB,13,1.0032,1,3.2,2022-12-15
WLB,14,1.0048,1.0015,2.9,2022-12-15
WLB,15,1.0089,1.0054,2.7,2022-12-15
WLB,17,1.0275,1.0221,2.2,2022-12-15
WLB,20,1.0662,1.0628,1.4,2022-12-15
WLB,22,1.0699,1.065,0.6,2022-12-15
WLB,25,1.086,1.082,0.3,2022-12-15
WLB,30,1.097,1.0931,0.7,2022-12-15
WLB,35,1.1053,1.1013,0.2,2022-12-15
WLB,42.5,1.1095,1.1055,-0.2,2022-12-15
WLB,4,1.0001,,2.2,2024-12-04
WLB,5,1.0002,,2.7,2024-12-04
WLB,6,1.0004,,4.3,2024-12-04
WLB,8,1.0009,,4.7,2024-12-04
WLB,10,1.0012,,4.8,2024-12-04
WLB,12,1.0014,,5.3,2024-12-04
WLB,13,1.0032,,5.3,2024-12-04
WLB,14,1.0045,,5.5,2024-12-04
WLB,15,1.0083,,5.4,2024-12-04
WLB,17,1.0322,,5.0,2024-12-04
WLB,20,1.0656,,5.3,2024-12-04
WLB,22,1.0706,,3.4,2024-12-04
WLB,25,1.0833,,2.2,2024-12-04
WLB,30,1.0911,,2.6,2024-12-04
WLB,35,1.1052,,1.4,2024-12-04
WLB,42.5,1.1079,,1.7,2024-12-04
ELB,4,1.0000,,2.4,2024-12-28
ELB,5,1.0004,,3.8,2024-12-28
ELB,6,1.0006,,4.1,2024-12-28
ELB,8,1.0009,,5.4,2024-12-28
ELB,10,1.0015,,6.1,2024-12-28
ELB,12,1.0027,,6.4,2024-12-28
ELB,13,1.0041,,7.4,2024-12-28
ELB,15,1.0099,,8.0,2024-12-28
ELB,18,1.0239,,8.2,2024-12-28
ELB,20,1.0314,,8.5,2024-12-28
ELB,22,1.0583,,7.3,2024-12-28
ELB,25,1.1151,,6.8,2024-12-28
ELB,30,1.1720,,5.9,2024-12-28
ELB,35,1.1850,,5,2024-12-28
ELB,41.5,1.2133,,1.8,2024-12-28
