dataset_code,lake,date_time,reference benchmark,surveying benchmark,lake level(masl),comments
LIMNO_LAKE_LEVELS,Lake Bonney,1/26/91 0:00,BMT20,BMT20,62.18,kiwi data
LIMNO_LAKE_LEVELS,Lake Fryxell,1/26/91 0:00,SSSI-BM,SSSI-BM,17.46,kiwi data
LIMNO_LAKE_LEVELS,Lake Hoare,1/26/91 0:00,BMT13,BMT13,74.16,Kiwi data
LIMNO_LAKE_LEVELS,Lake Vanda,1/26/91 0:00,,Astro A 94.52m old datum,90.38,  
LIMNO_LAKE_LEVELS,Lake Vanda,1/28/92 0:00,,Astro A 94.52m old datum,91.29, 
LIMNO_LAKE_LEVELS,Lake Bonney,9/12/92 0:00,BMT20,BMT20,62.35,kiwi data
LIMNO_LAKE_LEVELS,Lake Bonney,12/9/92 0:00,BMT20,BMT20,62.35,kiwi data
LIMNO_LAKE_LEVELS,Lake Fryxell,12/9/92 0:00,SSSI-BM,SSSI-BM,17.55,kiwi data
LIMNO_LAKE_LEVELS,Lake Hoare,12/9/92 0:00,BMT13,BMT13,74.16,Kiwi data
LIMNO_LAKE_LEVELS,Lake Vanda,12/9/92 0:00,,Astro A 94.52m old datum,91.12,
LIMNO_LAKE_LEVELS,Don Juan Pond,11/19/93 0:00,,DVDP pipe 200.00m,198.44,   
LIMNO_LAKE_LEVELS,Lake House,11/19/93 0:00,,LH 300.00m,299.27,              
LIMNO_LAKE_LEVELS,Lake Joyce,11/19/93 0:00,,LJW 302.062m,302.062,Benchmark is very close to lake---essentially at same elevation as water.  
LIMNO_LAKE_LEVELS,Lake Joyce,11/19/93 0:00,,LJE (tip of rock) 301.060m,301.06,Benchmark is very close to lake---essentially at same elevation as water.  
LIMNO_LAKE_LEVELS,Lake Joyce,11/19/93 0:00,,LJN (new bolt on rock) 302.438m,302.438,Benchmark is very close to lake---essentially at same elevation as water.    
LIMNO_LAKE_LEVELS,Lake Vida,11/19/93 0:00,,NZBM 350.00m,348.79, 
LIMNO_LAKE_LEVELS,Lake Vanda,11/22/93 0:00,,Astro A 94.52m old datum,91.44,
LIMNO_LAKE_LEVELS,Lake Hoare,11/25/93 0:00,BMT13,ROCK,74.04,Doran/Clow
LIMNO_LAKE_LEVELS,Lake Vida,1/17/94 0:00,,NZBM 350.00m,349.36,
LIMNO_LAKE_LEVELS,Lake Hoare,1/22/94 0:00,KIWI-LHW,KIWI-LHW,74.09,stream team
LIMNO_LAKE_LEVELS,Lake Hoare,12/3/94 0:00,BMT13,ROCK,74.04,Doran/Butt
LIMNO_LAKE_LEVELS,Lake Hoare,12/4/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/5/94 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,12/6/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/7/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/8/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/9/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/10/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/11/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/12/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/13/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/14/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/15/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/16/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/17/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/18/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/19/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/20/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/21/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/22/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/23/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/24/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/25/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/26/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/27/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/28/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/29/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,12/30/94 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,12/31/94 0:00,BMT13,ROCK,74.03,
LIMNO_LAKE_LEVELS,Lake Hoare,1/1/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/2/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/4/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/5/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/6/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/7/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/8/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/9/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/10/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/11/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Vanda,1/11/95 0:00,,Astro A 94.52m old datum,91.43,
LIMNO_LAKE_LEVELS,Don Juan Pond,1/12/95 0:00,,DVDP pipe 200.00m,198.53, 
LIMNO_LAKE_LEVELS,Lake Hoare,1/12/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/13/95 0:00,BMT13,ROCK,74.04,
LIMNO_LAKE_LEVELS,Lake Hoare,1/14/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/15/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/16/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/17/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/18/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/19/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/20/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake House,1/20/95 0:00,,LH 300.00m,299.342,            
LIMNO_LAKE_LEVELS,Lake Joyce,1/20/95 0:00,,LJE (tip of rock) 301.060m,300.012, 
LIMNO_LAKE_LEVELS,Lake Joyce,1/20/95 0:00,,LJN (new bolt on rock) 302.438m,300,    
LIMNO_LAKE_LEVELS,Lake Hoare,1/21/95 0:00,BMT13,ROCK,74.05,
LIMNO_LAKE_LEVELS,Lake Hoare,1/22/95 0:00,BMT13,ROCK,74.04,
