depth_m,Density_g_ml,Temp_C,Electrical_Conductivity_ohm_cm_X10_3,Chloride_Content_ppm
4.6,1.0014,1.2,3.4,800
6.1,1.0022,3,4.84,1300
7.6,1.0062,4.9,11.75,4320
9.2,1.0096,6.2,16.6,7360
10.7,1.0195,7,29.8,16680
12.2,1.0508,7.4,52.8,44750
13.7,1.0885,7.4,66.4,78000
15.2,1.1266,7.1,64.6,119000
16.8,1.151,6.4,64.6,138000
18.3,1.166,5,66.4,151000
19.8,1.1751,4.6,68.4,164000
21.4,1.1801,3.6,68.4,175000
22.9,1.1846,2.6,68.4,180000
24.4,1.1868,1.5,68.4,180000
25.9,1.1888,0.6,68.4,180000
27.4,1.1895,0,68.4,180000
29,1.1982,-1,68.4,180000
30.5,1.1985,-2,68.4,180000
