location_name,wateryear,chosen_date,Q_total,vol,tempV,tempUse,LL,ice.approx,delta_t,delta_temp,flux_W,flux_W_m2
East Lake Bonney,1994,1993-12-09,68255732427893.61,54608942.58508443,4.409567170162135,3.8406207951070335,62.35290322580645,3.63,NA,NA,NA,NA
East Lake Bonney,1996,1995-11-26,-21467952724924.9,54554887.54957665,4.317098509007603,3.731421212121213,62.3,3.6590287131767005,61948800,-0.10919958298582033,-346543.4798563475,-0.1562287984303351
East Lake Bonney,1997,1996-11-23,-18077889427903.96,53987253.95128443,4.285868184683221,3.7093221884498484,62.3,3.7800574712643678,31363200,-0.022099023671364737,-576404.4940536667,-0.2598547851864891
East Lake Bonney,1998,1997-12-01,-7475480439181.034,53987253.95128442,4.253421454253022,3.671734848484848,62.3,3.7415000000000003,32227200,-0.03758733996500041,-231961.83469805116,-0.10457307905950138
East Lake Bonney,1999,1998-12-10,-40248219709581.99,52450816.12758443,4.197427118706884,3.855230582524272,62.1241935483871,4.085807065217391,32313600,0.1834957340394241,-1245550.471305642,-0.5615193037164679
East Lake Bonney,2000,1999-12-06,-78334143758250.3,51905519.90024665,3.8777496184528104,3.490865625,62.1,4.205718851060007,31190400,-0.364364957524272,-2511482.499687413,-1.1322270249252022
East Lake Bonney,2001,2000-11-28,-63980102973871.37,51239706.43888444,3.6338475909698675,3.4299614147909967,61.90063492063492,4.300542857142857,30931200,-0.060904210209003384,-2068464.9471689223,-0.9325057664493475
East Lake Bonney,2002,2001-12-05,-11883007969453.979,50342171.07468443,3.668991967736401,3.2622309523809525,61.80053619302949,4.412492795389049,32140800,-0.1677304624100442,-369717.2431754648,-0.16667599887962775
East Lake Bonney,2003,2002-12-11,-5201609356045.9795,53369669.08488443,3.4491866954032617,3.1269567901234567,62.6,4.255178571428571,32054400,-0.13527416225749578,-162274.42585248762,-0.07315658796239877
East Lake Bonney,2004,2003-12-01,1728138034059.7034,53838131.86393165,3.4458674421100954,3.048738981762918,62.80140845070423,4.301919349143168,30672000,-0.07821780836053893,56342.52849699085,0.025400349564391227
East Lake Bonney,2005,2004-12-11,-15219868244270.947,53987253.95128442,3.3466012016071547,3.010406344410876,62.890410958904106,4.3840216216216215,32486400,-0.03833263735204184,-468499.6873852119,-0.21120911943147797
