location_name,date_time,ice.approx,heat_J,heatIce_J,Area_2D,vol,LL,tempV,tempUse,heatTot_J_m2,dec.date,yday
East Lake Bonney,1993-12-09,-3.63,2456656261413498,3559328598099600,3416159.716,54576272.059520006,62.35290322580645,4.639549718150823,3.951846153846154,-322781259.76417375,1993.9369863013699,343
East Lake Bonney,1995-10-20,-3.646179245283019,2442538941841902.5,3550235547087180,3411414.902,54196765.16982,62.3,4.579958985696715,3.9989422492401214,-324702986.023738,1995.8,293
East Lake Bonney,1996-11-06,-3.7732183908045975,2433364805073647,3643518440356920,3411414.902,53954583.425720006,62.3,4.5305074797240605,3.8490699404761903,-354736574.13344824,1996.8469945355191,311
East Lake Bonney,1996-11-23,-3.7800574712643678,2419480640389818,3643518440356920,3411414.902,53954583.425720006,62.3,4.556539625954479,3.9056309523809523,-358806487.96178067,1996.8934426229507,328
East Lake Bonney,1997-11-10,-3.939636363636364,2389233687305905.5,3829164451196760,3411414.902,53299074.165541,62.3,4.485618697184536,3.9135091185410333,-422091948.7238772,1997.8575342465754,314
East Lake Bonney,1997-12-01,-3.7415000000000003,2411691019759020.5,3643518440356920,3411414.902,53954583.425720006,62.3,4.523877062893392,3.885659226190476,-361089886.74339193,1997.9150684931508,335
East Lake Bonney,1997-12-08,-3.7615529411764705,2402584992879398.5,3643518440356920,3411414.902,53954583.425720006,62.3,4.52120162595398,3.9010662202380955,-363759168.2999342,1997.9342465753425,342
East Lake Bonney,1998-11-12,-4.062769230769231,2358434883704615,3900423839113980,3401535.669,52418145.60202,62.108333333333334,4.394809811094668,3.7754108761329306,-453321412.8731116,1998.86301369863,316
East Lake Bonney,1998-12-10,-4.085807065217391,2365760947014765,3900423839113980,3401535.669,52397070.055931,62.1241935483871,4.4549180504838635,3.8569435975609756,-451167661.1494662,1998.9397260273972,344
East Lake Bonney,1999-11-09,-4.206519021739131,2266869172553158,4083064728697800.5,3401535.669,51810557.81232,62.1,4.139948527281931,3.6436686930091184,-533934003.01416695,1999.854794520548,313
East Lake Bonney,2000-10-30,-4.0760000000000005,2229491233756708.8,3878715507180120,3391635.003,51691293.19532,61.91904761904762,3.9362849019243016,3.62452523659306,-486262310.64505005,2000.827868852459,304
East Lake Bonney,2000-11-28,-4.300542857142857,2181840846405158.5,3451187346948900,3348040.041,51207035.913320005,61.90063492063492,3.902595742645876,3.513120795107034,-379131218.56350625,2000.9071038251366,333
East Lake Bonney,2001-11-10,-4.488914285714286,2216174207353032.5,4227980772307860,3386582.87,50309500.54912,61.80723860589812,3.88065840803887,3.4101203703703704,-594052070.2376397,2001.8575342465754,314
East Lake Bonney,2001-12-05,-4.412492795389049,2239511422898204.5,4126180091235660,3381145.966,50309500.54912,61.80053619302949,3.93494969443455,3.4288796296296296,-557996811.5276144,2001.9260273972602,339
East Lake Bonney,2002-12-11,-4.255178571428571,2069331827888786,3726617319242640,3406542.884,53336998.55932,62.6,3.5466245211256116,3.3350119760479044,-486500698.15291774,2002.9424657534246,345
East Lake Bonney,2003-11-19,-4.302451253481894,2254199167035500,4240794488036760.5,3430675.638,53336998.55932,62.7,3.7107262841826545,3.2467275449101796,-579068245.0409089,2003.8821917808218,323
East Lake Bonney,2003-12-13,-4.301428571428572,2229838865357760.5,4251398480480340.5,3435589.006,53645281.370620005,62.80140845070423,3.699562773082371,3.277950746268657,-588417185.9882183,2003.9479452054795,347
East Lake Bonney,2004-11-11,-4.362,2131187899996768.8,4251398480480340.5,3435589.006,53645281.370620005,62.80542372881356,3.5735003956355014,3.2257167164179106,-617131611.7209544,2004.860655737705,316
East Lake Bonney,2004-12-11,-4.3840216216216215,2139206422326693.2,4158422282717280.5,3435589.006,53954583.425720006,62.890410958904106,3.5863949037260348,3.2427752976190476,-587734987.1780871,2004.9426229508197,346
East Lake Bonney,2005-11-21,-4.0274074074074075,2109501400228110.2,3482408838355020,3425811.012,55516837.34842,63.1,3.4424034825335594,3.176976679234744,-400753991.7753378,2005.8876712328768,325
East Lake Bonney,2005-12-15,-3.7082962962962966,2199138245028399,4138659129565800,3474172.321,56786186.56112,63.19857142857143,3.4986121280211733,3.168763768115942,-558268475.2894274,2005.9534246575342,349
East Lake Bonney,2006-11-25,-3.29625,2251290571826815.2,3250394686896300,3464561.738,59046805.86952,63.48277777777778,3.5091283579178723,3.1199013257575756,-288378210.7592752,2006.8986301369864,329
East Lake Bonney,2007-11-24,-3.225,2251389877859419.5,3146249961052020,3459712.946,59046805.86952,63.35333333333333,3.5054372300516135,3.10347821969697,-258651540.50633207,2007.8958904109588,328
East Lake Bonney,2007-12-14,-3.13,2285104148359633.5,3152119941048960,3464561.738,59373734.49842,63.42,3.575055599823114,3.1433212464589233,-250252660.5832205,2007.9506849315069,348
East Lake Bonney,2008-11-23,-3.1491071428571424,2249225680913698.5,3146249961052020,3459712.946,59046805.86952,63.319504643962844,3.5650095222859877,3.138668181818182,-259277082.85030693,2008.8934426229507,328
East Lake Bonney,2009-11-19,-3.28,2264730125137993,3279294116197920,3488913.438,60690233.91432,63.9,3.512569458105047,3.099247198879552,-290796550.0117194,2009.8821917808218,323
East Lake Bonney,2009-12-14,-3.17,2281528514673400.5,3179747151251100,3488913.438,61021394.809020005,63.922,3.53538087932147,3.1143072625698323,-257449390.0578394,2009.9506849315069,348
East Lake Bonney,2010-11-19,-3.46,2280105597923016,3483629577570240,3493844.248,60359859.651920006,64.02222222222223,3.58304638595734,3.1275407303370786,-344469843.02066803,2010.8821917808218,323
East Lake Bonney,2010-12-15,-3.37,2316992291185802.5,3401047999962e3,3509704.685,61685886.15792,64.3111111111111,3.600986636729711,3.1420097222222223,-308873767.4737433,2010.9534246575342,349
East Lake Bonney,2011-11-18,-3.525,2266829061503391,3517852704444720,3524587.155,62353227.740720004,64.63614457831325,3.51210319638317,3.1054772099447514,-354941894.7313076,2011.8794520547945,322
East Lake Bonney,2011-11-26,-3.485,2282342269926405.5,3623945883176520,3529380.53,62353227.740720004,64.66506024096385,3.5336149553177307,3.1106512430939226,-380124387.791677,2011.9013698630138,330
East Lake Bonney,2012-11-18,-3.51,2274995545814600,3538885016166840,3543695.415,63697866.628620006,65.03882352941176,3.4780768338628048,3.067858606557377,-356658607.00170815,2012.879781420765,323
East Lake Bonney,2013-11-24,-3.7643999999999997,2246887506327928,3859337750823720,3558357.292,63697866.628620006,65.34615384615384,3.379546513014079,2.9707390710382513,-453144558.6200544,2013.8958904109588,328
East Lake Bonney,2013-12-13,-3.715,2279369577096010,3870275047705620,3568260.154,64374639.51222,65.49230769230769,3.399862013946698,2.967647418478261,-445849069.84044135,2013.9479452054795,347
East Lake Bonney,2014-11-19,-3.756666666666667,2242000704737835.2,3875733286293420,3573213.133,64713803.01252,65.60107238605897,3.3670160461629304,2.9581673441734417,-457216662.0757757,2014.8821917808218,323
East Lake Bonney,2015-11-21,-3.885357142857143,2286899180986862,3983294987347500,3578233.568,64713803.01252,65.69946380697051,3.467589043312779,2.9808089430894307,-474087499.913767,2015.8876712328768,325
East Lake Bonney,2016-11-19,-4.040882352941177,2258747735138952.5,4192961787304200,3583308.442,64374639.51222,65.8025974025974,3.445259504822112,2.9842126358695653,-539784415.2890391,2016.8825136612022,324
East Lake Bonney,2017-11-22,-3.9700867052023123,2250077623104391,4091009239114020,3583308.442,64713803.01252,65.8,3.3791980087272515,2.9191565040650405,-513751926.69211733,2017.890410958904,326
East Lake Bonney,2018-11-20,-4.18,2235576131890484.5,4294762468376400,3583308.442,64035981.22522,65.8,3.3460091580184037,2.8753893051771118,-574660643.875969,2018.8849315068494,324
East Lake Bonney,2019-11-25,-3.8405333333333336,2236126656284913.5,3881195928039960,3578233.568,65053453.908420004,65.74155844155844,3.252464241392082,2.844985135135135,-459743401.4556331,2019.8986301369864,329
East Lake Bonney,2021-12-16,-3.720862068965517,2185065763084015.5,3897614949748380,3593813.726,66075403.253920004,65.96206896551725,3.1716636213987335,2.8276099195710453,-476526975.8626228,2021.9561643835616,350
East Lake Bonney,2023-11-22,-3.3,2202295423182708.8,3377954872304820,3588579.594,67444764.65392001,65.9,3.2228411711422096,2.893633554376658,-327611362.1912635,2023.890410958904,326
Lake Fryxell,1995-10-15,-4.1452028639618135,245808019436763.62,7300962726382980,7028637.373,26357788.38038,17.36379781420765,2.096386366104246,2.3710555555555555,-1003772756.0178422,1995.786301369863,288
Lake Fryxell,1996-11-09,-3.89,238593698032864.78,6980922426348900,7028637.373,27422460.037180003,17.310382513661203,1.9519422791092966,2.242518181818182,-959265412.4135357,1996.8551912568305,314
Lake Fryxell,1996-11-20,-4.065,240550881190258.25,7300962726382980,7028637.373,26357788.38038,17.308879781420764,2.0463121464915766,2.3084907407407407,-1004520715.8239208,1996.8852459016393,325
Lake Fryxell,1997-11-19,-3.631,211244606945838.84,6607801605701880,6990987.794,27960849.861580003,17.2,1.6690434747171579,2.0406396396396396,-914971844.7864939,1997.8821917808218,323
