location_name,date_time,ice.approx,ice.vol,heat_J,heatIce_J,Area_2D,vol,cum_vol,LL,tempV,tempUse,heatTot_J_m2,heatLake_J_m3,heatIce_J_m3,dec.date,yday
East Lake Bonney,1993-12-09,3.63,12182843.9294,2259839397349095.5,3662162885177640,3420967.634,54608942.58508446,54608942.58508446,62.35290322580645,4.409567170162135,3.8406207951070335,-409920127.2444849,41382222.22171967,300600000,1993.9369863013699,343
East Lake Bonney,1995-10-20,3.646179245283019,12152113.4669,2249342234276451.8,3652925308150140,3416159.716,54297576.28418446,54297576.28418446,62.3,4.324022642529261,3.9924485530546625,-410865764.6478986,41426199.62452411,300600000,1995.8,293
East Lake Bonney,1996-11-06,3.7732183908045975,12462435.799800001,2234797437077841.8,3746208201419880,3416159.716,53987253.95128446,53987253.95128446,62.3,4.2711902855801505,3.801275,-442429772.0224151,41394908.49255673,300600000,1996.8469945355191,311
East Lake Bonney,1996-11-23,3.7800574712643678,12462435.799800001,2213187988083053.2,3746208201419880,3416159.716,53987253.95128446,53987253.95128446,62.3,4.285868184683225,3.709322188449848,-448755427.375582,40994639.03239326,300600000,1996.8934426229507,328
East Lake Bonney,1997-11-10,3.939636363636364,13080020.6662,2192355796697068.2,3931854212259720,3416159.716,53369669.084884465,53369669.084884465,62.3,4.211986440681251,3.9029443548387097,-509197040.0024036,41078684.47170107,300600000,1997.8575342465754,314
East Lake Bonney,1997-12-01,3.7415000000000003,12462435.799800001,2213326574744749.2,3746208201419880,3416159.716,53987253.95128446,53987253.95128446,62.3,4.253421454253019,3.6717348484848484,-448714859.4065122,40997206.05796973,300600000,1997.9150684931508,335
East Lake Bonney,1997-12-08,3.7615529411764705,12462435.799800001,2197916520613420.2,3746208201419880,3416159.716,53987253.95128446,53987253.95128446,62.3,4.244237666679154,3.6830863636363635,-453225788.4649969,40711767.31079369,300600000,1997.9342465753425,342
East Lake Bonney,1997-12-21,3.7731,12462435.799800001,2220308936618943.8,3746208201419880,3416159.716,53987253.95128446,53987253.95128446,62.3,4.298640959249726,4.08999259868421,-446670938.0285123,41126539.58325877,300600000,1997.9698630136986,355
East Lake Bonney,1998-11-12,4.062769230769231,13316116.161700001,2154239071700319.8,4002824518207020,3406542.884,52450816.127584465,52450816.127584465,62.108333333333334,4.120416698147423,3.6694119496855344,-542657324.2888612,41071602.517303474,300600000,1998.86301369863,316
East Lake Bonney,1998-12-10,4.085807065217391,13316116.161700001,2168734312049470,4002824518207020,3406542.884,52450816.127584465,52450816.127584465,62.1241935483871,4.197427118706883,3.8552305825242716,-538402206.7568811,41347961.23618196,300600000,1998.9397260273972,344
